"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","Проверка раскрытия вопроса №7 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","2365","Создание заказа. Точка входа: bottom, Пользователь: Василий","tests","2026-05-19","passed","2026-05-19","TestOrder","test_order_page","",""
"","3128","Проверка перехода на Дзен при клике на логотип 'Яндекс'","tests","2026-05-19","passed","2026-05-19","TestLogos","test_logos","",""
"","220","Проверка возврата на главную страницу при клике на логотип 'Самокат'","tests","2026-05-19","passed","2026-05-19","TestLogos","test_logos","",""
"","669","Проверка раскрытия вопроса №6 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","670","Проверка раскрытия вопроса №2 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","2350","Создание заказа. Точка входа: top, Пользователь: Чумба","tests","2026-05-19","passed","2026-05-19","TestOrder","test_order_page","",""
"","673","Проверка раскрытия вопроса №5 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","674","Проверка раскрытия вопроса №8 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","678","Проверка раскрытия вопроса №3 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","691","Проверка раскрытия вопроса №4 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
"","708","Проверка раскрытия вопроса №1 и соответствия текста ответа","tests","2026-05-19","passed","2026-05-19","TestFaq","test_faq","",""
